latitude in yr 2000,longitude,elevation
70.4645,-157.450722,23
71.321933,-156.608417,6
71.321933,-156.608417,6
68.487017,-155.7436,577
68.487017,-155.7436,577
68.47845,-155.740133,580
68.478451,-154.740133,580
68.478452,-153.740133,580
68.47935,-155.738233,579
68.47935,-155.738233,579
68.47935,-155.738233,579
68.4805,-155.7429,583
69.735267,-155.869567,65
69.735267,-155.869567,65
69.732483,-155.863767,72
64.910463,-163.685894,45
64.8418,-163.693,43
64.8418,-163.693,43
64.8418,-163.693,43
64.933764,-163.735735,86
64.933764,-163.735735,86
64.899667,-163.672815,40
64.899667,-163.672815,40
64.7265,-163.9407,356
64.7265,-163.9407,356
64.890196,-163.65275,113
64.890196,-163.65275,113
64.841869,-163.708623,54
64.841869,-163.708623,54
64.8852,-163.3189,81
64.7577,-163.8872,350
64.7554,-163.8874,270
64.7504,-163.8907,200
64.7463,-163.8989,150
64.7507,-163.8938,190
64.7507,-163.8938,190
64.7491,-163.8977,120
64.9093,-163.7076,230
64.938917,-163.740481,160
64.938917,-163.740481,160
64.9276,-163.7418,80
64.896504,-163.656992,55
64.9021,-163.7132,70
64.911,-163.714,220
64.9129,-163.7216,170
64.928002,-163.724913,80
65.449162,-164.629181,248
65.458561,-164.638968,250
65.458561,-164.638968,250
65.455279,-164.631884,250
65.455279,-164.631884,221
65.5479,-163.4314,221
65.5479,-163.4314,399
65.5341,-163.5144,399
65.5341,-163.5144,300
65.5341,-163.5144,300
64.9087,-165.0687,300
65.458561,-164.638968,211
64.9087,-165.0687,211
64.9704,-164.7593,146
64.9704,-164.7593,146
65.018524,-164.698334,279
65.018524,-164.698334,279
65.092749,-164.678454,55
65.1539,-164.7839,71
